#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-01-31T21:47:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ589104a83d36	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=J/AJ/137/4186/stars
#-nav=cat:J/AJ/137/4186&tab:{J/AJ/137/4186/stars}&key:source=J/AJ/137/4186&HTTPPRM:&&-ref=VIZ589104a83d36&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=Vmag&-out=B-V&-out=U-B&-out=V-R&-out=R-I&-out=V-I&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=pmDE&-out=SimbadName&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/137/4186/stars
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/137/4186/stars
#-order=I
#-out=Name
#-out=Vmag
#-out=B-V
#-out=U-B
#-out=V-R
#-out=R-I
#-out=V-I
#-out=RAJ2000
#-out=DEJ2000
#-out=pmRA
#-out=pmDE
#-out=SimbadName
#

#RESOURCE=yCat_51374186
#Name: J/AJ/137/4186
#Title: UBVRI standards around celestial equator (Landolt, 2009)
#Table	J_AJ_137_4186_stars:
#Name: J/AJ/137/4186/stars
#Title: UBVRI photometry, accurate coordinates and proper motions of standard stars {\em(tables 2 and 5 of the paper)}
#Column	Name	(a11)	Star name	[ucd=meta.id;meta.main]
#Column	Vmag	(F6.3)	The Johnson V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F7.4)	? Mean error of the mean of Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	B-V	(F6.3)	The Johnson (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F7.4)	? Mean error of the mean of B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	U-B	(F6.3)	The Johnson (U-B) color index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F7.4)	? Mean error of the mean of U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	V-R	(F6.3)	The Johnson-Cousins (V-R) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	e_V-R	(F7.4)	? Mean error of the mean of V-R	[ucd=stat.error;phot.color;em.opt.V]
#Column	R-I	(F6.3)	The Cousins (R-I) color index	[ucd=phot.color;em.opt.R;em.opt.I]
#Column	e_R-I	(F7.4)	? Mean error of the mean of R-I	[ucd=stat.error;phot.color;em.opt.R]
#Column	V-I	(F6.3)	The Johnson-Cousins (V-I) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	e_V-I	(F7.4)	? Mean error of the mean of V-I	[ucd=stat.error;phot.color;em.opt.V]
#Column	Nobs	(I3)	Number of times star was observed	[ucd=meta.number]
#Column	Nnig	(I3)	Number of nights star was observed	[ucd=meta.number]
#Column	RAJ2000	(A12)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	UCAC2	(A8)	The UCAC2 identifier, Cat. I/289	[ucd=meta.id]
#Column	2MASS-PSC	(A17)	The 2MASS-PSC identifier, Cat. II/246	[ucd=meta.id]
#Column	pmRA	(F8.2)	Proper motion in Right Ascension	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	Proper motion in Declination	[ucd=pos.pm;pos.eq.dec]
#Column	Ref	(I1)	Proper motion reference (1)	[ucd=meta.ref;pos.pm;pos.frame]
#Column	SimbadName	(a20)	Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base	[ucd=meta.id]
Name|Vmag|e_Vmag|B-V|e_B-V|U-B|e_U-B|V-R|e_V-R|R-I|e_R-I|V-I|e_V-I|Nobs|Nnig|RAJ2000|DEJ2000|UCAC2|2MASS-PSC|pmRA|pmDE|Ref|SimbadName
113 187    |15.080| 0.0060| 1.063| 0.0163| 0.969| 0.0299| 0.638| 0.0068| 0.535| 0.0042| 1.174| 0.0072|  7|  4|21 43 20.629|+00 16 54.22|31960422|J21432062+0016540|   20.00|   10.10|1|SA 113-187
113 189    |15.421| 0.0138| 1.118| 0.0127| 0.958| 0.0714| 0.713| 0.0113| 0.605| 0.0074| 1.319| 0.0156|  8|  4|21 43 27.481|+00 17 20.91|31960437|J21432747+0017207|  -19.50|  -30.90|1|SA 113-189
113 307    |14.214| 0.0049| 1.128| 0.0269| 0.911| 0.0035| 0.630| 0.0014| 0.614| 0.0219| 1.245| 0.0198|  2|  1|21 43 30.444|+00 18 04.17|31960447|J21433044+0018040|    1.50|   -1.80|1|SA 113-307
113 191    |12.337| 0.0042| 0.799| 0.0023| 0.223| 0.0045| 0.471| 0.0023| 0.466| 0.0023| 0.937| 0.0034|  7|  4|21 43 33.561|+00 15 54.39|31960457|J21433355+0015543|  -16.70|   -8.40|1|SA 113-191
113 195    |13.692| 0.0051| 0.730| 0.0057| 0.201| 0.0101| 0.418| 0.0032| 0.413| 0.0038| 0.832| 0.0032| 10|  5|21 43 40.819|+00 17 21.83|31960473|J21434081+0017218|   -1.50|   -7.50|1|SA 113-195
G93 48D    |13.664| 0.0016| 0.636| 0.0025| 0.120| 0.0033| 0.368| 0.0018| 0.362| 0.0028| 0.724| 0.0030| 21|  9|21 52 10.158|+02 21 25.52|32634316|J21521015+0221255|  -13.50|  -11.80|1|[L92b] G93 48D
G93 48C    |12.664| 0.0005| 1.320| 0.0015| 1.260| 0.0054| 0.852| 0.0010| 0.759| 0.0011| 1.610| 0.0018| 33| 16|21 52 13.860|+02 21 52.90|        |J21521385+0221528|  104.00|  -28.00|2|[L92b] G93 48C
G93 48A    |12.856| 0.0017| 0.715| 0.0020| 0.278| 0.0032| 0.403| 0.0009| 0.365| 0.0018| 0.772| 0.0023| 26| 14|21 52 17.450|+02 23 14.20|        |J21521745+0223141|   40.00|   -2.00|2|[L92b] G93 48A
G93 48B    |12.416| 0.0019| 0.719| 0.0017| 0.194| 0.0038| 0.405| 0.0012| 0.383| 0.0014| 0.791| 0.0020| 25| 14|21 52 18.349|+02 23 10.40|32634333|J21521834+0223101|  -12.60|  -21.70|1|[L92b] G93 48B
G93 48     |12.743| 0.0006|-0.011| 0.0007|-0.790| 0.0016|-0.096| 0.0006|-0.099| 0.0017|-0.195| 0.0018|106| 90|21 52 25.379|+02 23 19.60|32634338|J21522538+0223192|   14.70| -298.40|1|G93-48
PG2213-006F|12.644| 0.0010| 0.678| 0.0011| 0.171| 0.0019| 0.395| 0.0006| 0.384| 0.0013| 0.781| 0.0014| 30| 15|22 16 12.898|-00 17 55.86|31789827|J22161290-0017558|   -7.20|   -3.10|1|[L92b] PG 2213-006 F
PG2213-006C|15.108| 0.0020| 0.726| 0.0030| 0.175| 0.0039| 0.425| 0.0020| 0.432| 0.0039| 0.853| 0.0047| 34| 17|22 16 17.674|-00 22 14.30|31789833|J22161767-0022144|    4.50|   -3.70|1|[L92b] PG 2213-006 C
PG2213-006E|13.776| 0.0025| 0.661| 0.0029| 0.087| 0.0027| 0.397| 0.0029| 0.373| 0.0052| 0.778| 0.0032|  3|  3|22 16 21.309|-00 17 39.75|31789834|J22162130-0017398|   -7.80|    8.30|1|[L92b] PG 2213-006 E
PG2213-006B|12.710| 0.0007| 0.753| 0.0014| 0.291| 0.0018| 0.427| 0.0005| 0.404| 0.0011| 0.831| 0.0012| 24| 13|22 16 21.757|-00 21 48.50|31789835|J22162175-0021486|   21.50|   -3.50|1|[L92b] PG 2213-006 B
PG2213-006D|13.987| 0.0015| 0.787| 0.0015| 0.128| 0.0029| 0.486| 0.0009| 0.479| 0.0021| 0.967| 0.0022| 34| 16|22 16 22.590|-00 17 40.70|        |J22162259-0017406|  -26.00|  -42.00|2|[L92b] PG 2213-006 D
PG2213-006A|14.180| 0.0006| 0.665| 0.0007| 0.094| 0.0025| 0.407| 0.0016| 0.408| 0.0026| 0.817| 0.0030| 32| 17|22 16 23.206|-00 21 26.98|31789837|J22162321-0021271|   18.50|   -7.70|1|[L92b] PG 2213-006 A
PG2213-006 |14.137| 0.0010|-0.214| 0.0014|-1.176| 0.0006|-0.072| 0.0011|-0.132| 0.0044|-0.211| 0.0057| 33| 18|22 16 28.375|-00 21 13.51|31789841|J22162837-0021135|    1.40|   -8.80|1|PG 2213-006
G156 31    |12.361| 0.0027| 1.993| 0.0049| 1.408| 0.0130| 1.648| 0.0027| 2.042| 0.0027| 3.684| 0.0029| 20|  8|22 38 33.592|-15 17 59.44|26361351|J22383372-1517573| 2310.50| 2291.70|1|G156-31
114 531    |12.095| 0.0009| 0.733| 0.0011| 0.175| 0.0013| 0.421| 0.0006| 0.404| 0.0008| 0.824| 0.0009| 55| 44|22 40 36.756|+00 51 55.46|32130708|J22403675+0051553|  -25.50|  -16.30|1|SA 114-531
114 637    |12.070| 0.0044| 0.801| 0.0018| 0.307| 0.0080| 0.456| 0.0026| 0.415| 0.0023| 0.872| 0.0028| 15|  8|22 40 42.570|+01 03 10.62|32298957|J22404257+0103107|    0.00|    0.80|1|SA 114-637
114 446    |12.064| 0.0035| 0.737| 0.0035| 0.237| 0.0064| 0.397| 0.0035| 0.369| 0.0028| 0.769| 0.0007|  2|  1|22 41 03.873|+00 46 01.40|32130726|J22410388+0046011|   18.30|  -19.00|1|SA 114-446
114 654    |11.833| 0.0008| 0.656| 0.0037| 0.178| 0.0057| 0.368| 0.0016| 0.341| 0.0033| 0.711| 0.0037|  6|  3|22 41 26.140|+01 10 10.69|32298994|J22412613+0110106|   30.00|  -10.80|1|SA 114-654
114 656    |12.644| 0.0036| 0.965| 0.0067| 0.698| 0.0219| 0.547| 0.0040| 0.506| 0.0018| 1.051| 0.0049|  5|  1|22 41 35.072|+01 11 09.79|32298999|J22413506+0111096|   -0.60|   -6.90|1|SA 114-656
114 548    |11.599| 0.0011| 1.362| 0.0013| 1.568| 0.0052| 0.738| 0.0007| 0.651| 0.0007| 1.387| 0.0010| 64| 54|22 41 36.833|+00 59 05.80|32130756|J22413682+0059056|   -0.50|   -6.40|1|SA 114-548
114 750    |11.916| 0.0012|-0.037| 0.0005|-0.367| 0.0013| 0.027| 0.0010|-0.016| 0.0003| 0.010| 0.0013| 68| 57|22 41 44.703|+01 12 36.36|32299009|J22414470+0112362|  -12.50|  -19.70|1|SA 114-750
114 755    |10.909| 0.0009| 0.570| 0.0009|-0.063| 0.0019| 0.313| 0.0006| 0.310| 0.0008| 0.622| 0.0013| 23| 18|22 42 07.584|+01 16 48.99|32299026|J22420758+0116489|  -71.30|  -40.90|1|SA 114-755
114 670    |11.101| 0.0027| 1.206| 0.0015| 1.223| 0.0117| 0.645| 0.0020| 0.561| 0.0022| 1.208| 0.0020| 16| 10|22 42 09.288|+01 10 16.80|32299027|J22420929+0110168|   -9.80|  -13.90|1|SA 114-670
114 176    | 9.239| 0.0010| 1.485| 0.0013| 1.853| 0.0032| 0.800| 0.0006| 0.717| 0.0008| 1.521| 0.0009| 60| 43|22 43 10.181|+00 21 15.57|31964435|J22431017+0021154|   -4.70|   -6.20|1|SA 114-176
HD 216135  |10.111| 0.0006|-0.119| 0.0011|-0.618| 0.0016|-0.052| 0.0011|-0.065| 0.0009|-0.119| 0.0012| 27| 20|22 50 28.229|-13 18 44.34|27217250|J22502822-1318443|  -18.60|  -13.70|1|HD 216135
G156 57    |10.192| 0.0017| 1.557| 0.0015| 1.179| 0.0035| 1.179| 0.0008| 1.543| 0.0014| 2.730| 0.0006| 18| 11|22 53 16.728|-14 15 49.32|26801725|J22531672-1415489|  951.00| -676.00|1|G156-57
GD 246A    |12.962| 0.0019| 0.463| 0.0022|-0.047| 0.0034| 0.288| 0.0017| 0.296| 0.0015| 0.584| 0.0025| 21| 11|23 12 17.442|+10 46 12.87|35681338|J23121744+1046127|   -4.30|   -8.40|1|[L92b] GD 246A
GD 246     |13.090| 0.0009|-0.318| 0.0009|-1.194| 0.0014|-0.148| 0.0008|-0.181| 0.0019|-0.328| 0.0021|113| 97|23 12 21.630|+10 47 04.30|        |J23122162+1047042|  142.00|  -10.00|2|GD 246
GD 246B    |14.368| 0.0019| 0.919| 0.0028| 0.693| 0.0111| 0.512| 0.0023| 0.431| 0.0056| 0.944| 0.0070| 20|  9|23 12 28.998|+10 47 11.37|35681348|J23122900+1047114|    0.90|  -14.90|1|[L92b] GD 246B
GD 246C    |13.637| 0.0018| 0.879| 0.0015| 0.540| 0.0052| 0.484| 0.0016| 0.448| 0.0027| 0.933| 0.0031| 20| 10|23 12 30.920|+10 49 13.96|35681353|J23123092+1049140|   -3.40|   -0.40|1|[L92b] GD 246C
F 108      |12.973| 0.0007|-0.237| 0.0007|-1.050| 0.0011|-0.106| 0.0009|-0.140| 0.0019|-0.245| 0.0021|118|100|23 16 12.408|-01 50 35.12|31258980|J23161241-0150350|    0.50|  -17.50|1|Feige  108
PG2317+046 |12.876| 0.0085|-0.246| 0.0041|-1.137| 0.0079|-0.074| 0.0032|-0.035| 0.0028|-0.118| 0.0079| 10|  4|23 19 55.349|+04 52 34.60|33502128|J23195534+0452345|   38.20|  -23.00|1|PG 2317+046
PG2331+055 |15.182| 0.0057|-0.066| 0.0071|-0.487| 0.0035|-0.012| 0.0078|-0.031| 0.0057|-0.044| 0.0127|  2|  1|23 33 44.468|+05 46 39.81|33859266|J23334447+0546398|   -1.50|  -14.30|1|PG 2331+055
PG2331+055A|13.051| 0.0021| 0.741| 0.0014| 0.257| 0.0014| 0.419| 0.0014| 0.401| 0.0014| 0.821| 0.0014|  2|  1|23 33 49.373|+05 46 52.58|33859271|J23334937+0546526|   -3.80|  -14.60|1|[L92b] PG 2331+055 A
PG2331+055B|14.744| 0.0035| 0.819| 0.0007| 0.429| 0.0014| 0.481| 0.0035| 0.454| 0.0064| 0.935| 0.0021|  2|  1|23 33 51.128|+05 45 09.07|33859274|J23335113+0545091|    7.40|  -10.40|1|[L92b] PG 2331+055 B
PG2336+004B|12.429| 0.0006| 0.517| 0.0008|-0.048| 0.0012| 0.313| 0.0003| 0.317| 0.0012| 0.627| 0.0012| 10|  5|23 38 38.287|+00 42 46.40|32133222|J23383829+0042463|   10.40|   -1.10|1|[L92b] PG 2336+004 B
PG2336+004A|11.274| 0.0006| 0.686| 0.0006| 0.129| 0.0011| 0.394| 0.0007| 0.382| 0.0006| 0.769| 0.0009| 10|  5|23 38 42.579|+00 42 28.76|32133226|J23384258+0042287|  119.90|    4.20|1|[L92b] PG 2336+004 A
PG2336+004 |15.885| 0.0070|-0.160| 0.0056|-0.781| 0.0007|-0.056| 0.0079|-0.048| 0.0125|-0.109| 0.0217| 10|  5|23 38 43.580|+00 42 59.30|        |J23384357+0042592|   -4.00|  -14.00|2|PG 2336+004
115 554    |11.812| 0.0042| 1.005| 0.0028| 0.548| 0.0028| 0.586| 0.0057| 0.538| 0.0021| 1.127| 0.0028|  2|  1|23 41 30.848|+01 26 25.21|32301616|J23413085+0126252|   14.60|   -8.50|1|SA 115-554
115 486    |12.482| 0.0025| 0.493| 0.0035|-0.049| 0.0047| 0.298| 0.0020| 0.308| 0.0020| 0.607| 0.0020| 16|  9|23 41 32.988|+01 16 44.80|32301617|J23413299+0116446|    0.20|   -7.00|1|SA 115-486
115 412    |12.209| 0.0021| 0.573| 0.0049|-0.040| 0.0035| 0.327| 0.0007| 0.335| 0.0021| 0.665| 0.0021|  2|  1|23 42 00.947|+01 09 01.74|32301638|J23420094+0109016|    9.50|   -2.00|1|SA 115-412
115 268    |12.494|       | 0.634|       | 0.077|       | 0.366|       | 0.348|       | 0.714|       |  1|  1|23 42 30.663|+00 52 10.93|32133358|J23423066+0052109|  -12.10|   -5.10|1|SA 115-268
115 420    |11.160| 0.0006| 0.467| 0.0005|-0.019| 0.0008| 0.288| 0.0005| 0.293| 0.0006| 0.581| 0.0007| 91| 82|23 42 36.481|+01 05 58.82|32301663|J23423648+0105589|   -5.70|   -6.70|1|SA 115-420
115 271    | 9.693| 0.0005| 0.612| 0.0004| 0.109| 0.0008| 0.354| 0.0003| 0.349| 0.0005| 0.702| 0.0007|118| 96|23 42 41.825|+00 45 13.14|32133366|J23424182+0045131|   62.00|   28.20|1|SA 115-271
115 516    |10.431| 0.0006| 1.028| 0.0005| 0.760| 0.0012| 0.564| 0.0004| 0.534| 0.0004| 1.099| 0.0006|100| 89|23 44 15.375|+01 14 12.56|32301716|J23441536+0114126|   30.20|  -21.40|1|SA 115-516
BD +1 4774 | 8.993| 0.0012| 1.434| 0.0016| 1.105| 0.0020| 0.964| 0.0008| 1.081| 0.0016| 2.047| 0.0016|  6|  6|23 49 12.526|+02 24 04.42|32640241|J23491255+0224037|  993.70| -966.70|1|BD +1 4774
PG2349+002 |13.277| 0.0063|-0.191| 0.0106|-0.921| 0.0078|-0.103| 0.0057|-0.116| 0.0078|-0.219| 0.0060| 11|  5|23 51 53.228|+00 28 17.60|31967221|J23515323+0028176|  -17.90|  -12.80|1|PG 2349+002

